ip,avg,1%low
10.1.56.251,-56,-60
10.1.147.9,0,0
10.1.86.251,-54,-54
10.1.234.9,-55,-55
10.1.251.251,-57,-62
10.1.252.51,-,-
10.1.233.9,-50,-50
10.1.88.251,-50,-55
10.1.15.251,-55,-58
10.5.103.251,-56,-57
10.1.240.9,-54,-70
10.5.222.251,-56,-58
10.1.238.9,-60,-66
10.1.242.9,-51,-59
10.1.106.251,-49,-57
10.1.68.251,-50,-60
10.5.95.235,-38,-43
10.1.187.251,-55,-57
10.1.183.251,-59,-64
10.1.232.9,-,-
10.1.177.251,-58,-64
10.1.101.235,0,0
10.1.84.251,-60,-65
10.1.231.9,-54,-57
10.1.98.251,-58,-62
10.8.48.56,-,-
10.1.20.251,-49,-55
10.5.96.251,-50,-50
10.1.2.251,-52,-56
10.1.6.251,-61,-69
10.1.19.9,-55,-60
10.1.5.251,-54,-58
10.1.37.9,-51,-57
10.8.85.251,-61,-65
10.1.141.9,-51,-57
10.1.42.251,-55,-61
10.1.95.251,-54,-59
10.5.61.251,-54,-62
10.1.64.251,-56,-60
10.1.28.251,-57,-62
10.1.127.251,-54,-58
10.1.171.251,-55,-62
10.1.186.251,-55,-59
10.1.169.250,0,0
10.8.64.251,-56,-64
10.6.37.251,-58,-63
10.1.156.251,-53,-57
10.1.105.227,-44,-54
10.6.90.251,-58,-62
10.6.2.251,-59,-64
10.6.10.251,-58,-64
10.1.27.251,-57,-63
10.1.178.251,-58,-63
10.1.110.251,-36,-43
10.1.29.251,-60,-66
10.8.12.251,-59,-64
10.1.181.251,-59,-64
10.1.104.9,-57,-61
10.1.137.251,-64,-69
10.1.49.251,-45,-54
10.5.4.243,-42,-48
10.1.122.251,-62,-68
10.1.25.251,-57,-65
10.1.146.9,-60,-65
10.1.36.243,-47,-61
10.1.23.235,-48,-53
10.8.41.251,-48,-58
10.1.34.251,-58,-63
10.1.48.251,-43,-51
10.1.132.251,-50,-56
10.1.32.243,-53,-62
